Sprengel_Nr,Georg Willi,Markus Lassenberger,Florian Tursky,Julia Seidl,Andrea Haselwanter-Schneider,Gerald Depaoli,Mesut Onay,Elisabeth Mayr Maga,Helmut Reichholf,Johannes Anzengruber,Christian Franz Veber,Helmut Buchacher,Pia Tomedi,Gewinner
000,22.89,15.92,10.41,2.0,4.63,2.05,2.35,15.21,0.5,19.36,0.28,0.34,4.06,Georg Willi
-01,26.74,11.62,10.23,2.57,4.8,1.45,2.41,14.25,0.5,21.26,0.26,0.23,3.66,Georg Willi
001,33.74,9.73,13.68,3.65,1.82,0.3,4.56,16.41,1.22,10.33,0.3,0.0,4.26,Georg Willi
010,32.72,11.01,10.7,2.14,3.67,0.61,2.45,13.76,1.22,12.23,0.61,0.0,8.87,Georg Willi
011,39.8,6.58,7.57,1.97,1.32,0.66,1.97,20.07,0.33,14.47,0.33,0.0,4.93,Georg Willi
012,30.0,11.07,10.36,0.36,3.57,1.79,2.5,16.43,0.0,21.43,0.0,0.0,2.5,Georg Willi
013,32.24,10.86,7.57,1.97,3.95,3.62,0.66,17.43,0.99,17.43,0.0,0.0,3.29,Georg Willi
020,31.89,8.65,9.73,2.7,4.32,3.24,1.62,16.22,0.0,16.22,0.0,0.0,5.41,Georg Willi
021,28.82,4.12,12.94,1.18,1.76,0.0,4.12,24.71,0.0,12.94,0.0,0.59,8.82,Georg Willi
030,36.65,7.85,14.14,3.66,1.57,1.05,6.28,15.18,0.52,8.9,0.0,0.0,4.19,Georg Willi
031,31.79,8.95,10.49,5.86,2.47,0.93,4.01,16.36,1.54,8.95,0.31,0.31,8.02,Georg Willi
032,37.1,7.42,14.49,2.47,2.83,0.35,4.95,14.13,1.06,11.31,0.0,0.71,3.18,Georg Willi
040,23.53,15.88,11.76,1.76,4.12,2.35,8.24,12.94,0.59,13.53,0.0,0.59,4.71,Georg Willi
041,35.29,12.3,10.16,1.07,3.21,1.07,3.21,18.18,0.0,5.88,0.0,0.53,9.09,Georg Willi
050,21.29,21.67,9.51,0.38,2.28,1.52,3.42,17.49,0.0,15.21,0.0,0.76,6.46,Markus Lassenberger
051,31.38,16.31,7.38,1.85,7.08,0.62,1.85,18.46,0.62,10.77,0.0,0.92,2.77,Georg Willi
052,35.74,10.21,5.71,2.1,4.5,1.8,3.9,15.02,1.2,11.71,0.9,0.9,6.31,Georg Willi
060,29.39,8.48,15.15,2.42,3.94,0.91,2.42,16.36,0.0,17.88,0.3,0.0,2.73,Georg Willi
070,31.2,10.58,8.64,2.51,3.9,1.67,2.23,20.06,0.0,12.53,1.11,0.0,5.57,Georg Willi
071,25.6,19.11,9.56,1.71,5.12,1.71,1.37,21.16,0.34,11.6,0.0,0.0,2.73,Georg Willi
072,19.7,13.7,10.06,1.5,5.14,3.64,1.07,19.91,0.64,19.27,0.21,0.43,4.71,Elisabeth Mayr Maga
073,31.25,10.8,6.53,2.27,3.98,3.13,1.99,15.91,0.57,18.18,0.28,0.0,5.11,Georg Willi
074,21.43,14.64,8.93,0.71,3.93,2.5,2.14,19.29,0.36,21.07,0.0,1.07,3.93,Georg Willi
075,29.3,12.5,20.31,1.56,2.73,1.17,1.56,7.03,1.17,17.97,0.39,0.39,3.91,Georg Willi
080,7.67,25.67,6.0,1.67,2.0,5.0,3.67,21.67,1.0,21.67,0.0,0.0,4.0,Markus Lassenberger
081,15.32,25.81,12.1,0.81,2.42,3.23,2.42,16.13,0.81,15.32,0.0,1.61,4.03,Markus Lassenberger
100,30.25,6.48,11.11,5.86,2.78,0.93,2.16,21.91,0.62,11.42,0.31,0.0,6.17,Georg Willi
101,37.54,10.3,10.96,0.0,3.32,1.0,2.33,15.61,0.66,13.62,0.33,0.33,3.99,Georg Willi
102,30.2,8.72,15.44,2.68,3.69,0.67,2.01,16.11,0.67,9.4,0.0,0.67,9.73,Georg Willi
103,28.62,10.04,8.92,4.09,4.09,0.74,2.97,22.3,0.37,8.18,0.0,0.37,9.29,Georg Willi
104,26.84,13.85,13.85,1.73,4.76,0.87,3.46,14.72,0.0,12.55,0.87,0.0,6.49,Georg Willi
110,35.62,7.95,9.86,3.56,3.29,0.55,4.66,17.26,0.0,11.23,0.27,0.0,5.75,Georg Willi
