Sprengel_Nr,Georg Willi - Die Innsbrucker Grünen - GRÜNE,FPÖ - Rudi Federspiel - FPÖ,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",NEOS Innsbruck - NEOS,Liste Fritz - Bürgerforum Tirol - FRITZ,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,Alternative Liste Innsbruck - Mesut Onay - ALI,Sozialdemokratische Partei Österreichs - SPÖ,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,Die Unabhängigen - Innsbruck - DU-I,Kommunistische Partei Österreich (KPÖ) - KPÖ,Gewinner
0,18.87,15.21,10.15,3.51,5.5,3.48,4.83,13.58,0.68,16.83,0.34,0.3,6.72,Georg Willi - Die Innsbrucker Grünen - GRÜNE
-1,22.43,11.04,9.74,4.43,5.57,2.74,5.0,12.58,0.7,18.88,0.29,0.17,6.44,Georg Willi - Die Innsbrucker Grünen - GRÜNE
1,24.15,7.43,15.17,4.95,3.41,1.86,9.29,13.62,1.24,7.74,0.31,0.0,10.84,Georg Willi - Die Innsbrucker Grünen - GRÜNE
10,26.83,9.45,11.59,3.35,4.27,1.52,6.1,14.02,2.13,7.93,0.61,0.0,12.2,Georg Willi - Die Innsbrucker Grünen - GRÜNE
11,32.78,6.62,6.29,3.31,1.66,1.66,10.6,13.58,0.66,11.92,0.33,0.33,10.26,Georg Willi - Die Innsbrucker Grünen - GRÜNE
12,28.9,9.97,9.63,3.99,5.32,2.99,8.64,8.64,0.66,16.61,1.0,0.0,3.65,Georg Willi - Die Innsbrucker Grünen - GRÜNE
13,28.13,9.72,7.99,5.56,3.47,5.21,5.56,14.93,1.39,12.85,0.35,0.0,4.86,Georg Willi - Die Innsbrucker Grünen - GRÜNE
20,25.0,6.52,10.87,3.8,5.43,4.89,5.98,10.33,0.0,14.67,0.0,0.0,12.5,Georg Willi - Die Innsbrucker Grünen - GRÜNE
21,23.86,5.11,12.5,2.27,0.57,1.14,8.52,21.59,0.0,9.09,0.0,0.0,15.34,Georg Willi - Die Innsbrucker Grünen - GRÜNE
30,25.79,5.79,13.68,5.26,4.21,3.16,11.05,13.16,0.53,7.89,0.0,0.0,9.47,Georg Willi - Die Innsbrucker Grünen - GRÜNE
31,20.37,8.02,12.65,8.95,3.4,1.23,10.8,14.51,1.54,6.79,0.31,0.0,11.42,Georg Willi - Die Innsbrucker Grünen - GRÜNE
32,27.56,8.83,15.19,5.3,3.89,0.35,9.89,11.66,1.06,9.54,0.0,0.71,6.01,Georg Willi - Die Innsbrucker Grünen - GRÜNE
40,22.81,15.2,11.7,4.68,5.26,2.34,11.11,8.77,0.58,9.36,0.0,0.58,7.6,Georg Willi - Die Innsbrucker Grünen - GRÜNE
41,28.87,11.86,10.82,6.19,3.61,2.06,5.67,13.4,0.0,4.12,0.0,0.0,13.4,Georg Willi - Die Innsbrucker Grünen - GRÜNE
50,15.59,20.53,9.51,2.28,3.8,5.32,7.98,14.45,0.38,10.65,0.38,0.76,8.37,FPÖ - Rudi Federspiel - FPÖ
51,26.61,14.68,7.03,3.06,7.95,3.06,5.81,12.84,0.61,10.7,0.0,0.61,7.03,Georg Willi - Die Innsbrucker Grünen - GRÜNE
52,25.23,9.42,3.95,4.26,4.86,2.13,8.81,13.07,2.13,10.94,0.91,0.91,13.37,Georg Willi - Die Innsbrucker Grünen - GRÜNE
60,25.97,6.87,15.52,5.07,5.37,3.28,5.67,12.84,0.0,13.73,0.3,0.0,5.37,Georg Willi - Die Innsbrucker Grünen - GRÜNE
70,28.65,10.67,7.87,6.74,5.34,2.53,6.18,15.17,0.0,9.27,0.84,0.0,6.74,Georg Willi - Die Innsbrucker Grünen - GRÜNE
71,18.73,17.39,8.36,2.34,7.69,5.02,5.69,18.06,0.67,8.7,0.0,0.0,7.36,Georg Willi - Die Innsbrucker Grünen - GRÜNE
72,16.42,14.07,10.02,3.2,6.82,6.18,3.62,16.42,0.64,14.71,0.0,0.0,7.89,Georg Willi - Die Innsbrucker Grünen - GRÜNE
73,27.89,9.3,7.89,5.92,3.94,4.23,5.35,11.83,1.41,14.37,0.56,0.0,7.32,Georg Willi - Die Innsbrucker Grünen - GRÜNE
74,17.01,12.85,8.68,2.78,5.56,5.21,5.56,18.06,0.35,16.32,0.0,0.35,7.29,Sozialdemokratische Partei Österreichs - SPÖ
75,20.39,11.37,21.57,5.88,2.35,0.78,3.53,9.8,0.0,18.04,0.0,0.78,5.49,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY"
80,6.86,25.49,6.21,1.31,4.9,7.52,3.92,20.92,0.98,17.65,0.0,0.33,3.92,FPÖ - Rudi Federspiel - FPÖ
81,9.52,26.19,15.87,1.59,2.38,4.76,2.38,16.67,0.0,13.49,0.0,0.79,6.35,FPÖ - Rudi Federspiel - FPÖ
100,24.54,6.75,9.82,8.59,3.99,1.23,7.67,16.56,0.31,9.82,0.92,0.0,9.82,Georg Willi - Die Innsbrucker Grünen - GRÜNE
101,26.13,10.97,9.68,3.23,3.87,1.61,8.71,10.97,0.32,11.61,0.32,0.0,12.58,Georg Willi - Die Innsbrucker Grünen - GRÜNE
102,24.58,8.97,16.28,4.98,3.32,0.66,5.65,13.29,0.66,7.31,0.0,1.0,13.29,Georg Willi - Die Innsbrucker Grünen - GRÜNE
103,24.36,10.91,7.64,4.73,3.64,1.09,7.27,18.18,0.36,7.64,0.0,1.09,13.09,Georg Willi - Die Innsbrucker Grünen - GRÜNE
104,23.48,15.22,12.61,1.74,6.52,2.17,6.09,10.43,0.43,9.57,0.87,0.0,10.87,Georg Willi - Die Innsbrucker Grünen - GRÜNE
110,29.86,7.67,8.77,5.21,3.84,2.47,9.59,13.15,0.27,8.49,0.27,0.0,10.41,Georg Willi - Die Innsbrucker Grünen - GRÜNE
111,26.55,9.44,7.37,3.83,4.72,3.24,5.6,17.99,0.88,9.44,1.18,1.18,8.55,Georg Willi - Die Innsbrucker Grünen - GRÜNE
112,27.47,9.07,9.6,5.07,4.0,0.53,8.53,14.4,0.0,11.47,0.27,0.27,9.33,Georg Willi - Die Innsbrucker Grünen - GRÜNE
113,30.26,8.55,8.88,5.59,4.93,0.66,12.5,10.2,0.99,8.22,0.33,0.33,8.55,Georg Willi - Die Innsbrucker Grünen - GRÜNE
114,29.55,8.97,6.07,3.96,3.96,1.85,9.5,13.72,0.53,8.44,0.79,1.06,11.61,Georg Willi - Die Innsbrucker Grünen - GRÜNE
115,20.67,21.0,6.33,1.33,6.33,3.0,4.67,15.33,0.0,11.67,0.0,0.0,9.67,FPÖ - Rudi Federspiel - FPÖ
120,19.13,14.44,19.49,3.25,7.94,1.44,2.17,9.75,1.44,15.16,0.36,0.0,5.42,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY"
130,30.13,7.11,7.11,2.93,4.6,2.51,6.28,13.39,0.0,9.62,0.42,1.26,14.64,Georg Willi - Die Innsbrucker Grünen - GRÜNE
131,17.88,19.21,7.28,2.65,4.97,4.3,5.63,17.22,0.66,13.25,0.0,0.66,6.29,FPÖ - Rudi Federspiel - FPÖ
132,16.38,12.43,10.73,2.82,2.26,3.39,11.3,15.82,2.26,10.73,0.56,0.0,11.3,Georg Willi - Die Innsbrucker Grünen - GRÜNE
133,4.36,21.82,6.18,0.0,5.82,3.27,1.09,36.0,1.45,15.27,0.0,0.36,4.36,Sozialdemokratische Partei Österreichs - SPÖ
140,10.43,16.55,12.02,3.4,8.39,4.08,1.81,9.07,2.49,26.98,0.45,0.0,4.31,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
150,16.08,13.29,12.59,6.99,6.29,1.4,4.2,9.09,4.55,19.58,1.05,0.0,4.9,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
151,9.44,17.48,9.44,5.59,8.74,4.55,3.5,13.64,0.35,19.93,0.7,0.35,6.29,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
200,17.72,18.32,10.21,4.5,5.71,1.2,6.01,13.81,0.3,16.82,0.0,0.0,5.41,FPÖ - Rudi Federspiel - FPÖ
201,17.42,14.39,9.47,2.65,9.47,6.44,2.65,14.77,1.14,15.53,0.0,0.38,5.68,Georg Willi - Die Innsbrucker Grünen - GRÜNE
202,16.03,10.55,10.13,0.84,5.49,7.59,5.49,17.72,0.42,16.46,0.84,0.42,8.02,Sozialdemokratische Partei Österreichs - SPÖ
203,4.96,22.14,9.54,1.15,4.2,9.16,3.05,22.14,0.38,18.32,0.0,0.38,4.58,FPÖ - Rudi Federspiel - FPÖ
210,16.76,19.23,7.42,1.92,4.67,2.75,5.22,17.58,0.27,12.91,0.27,0.55,10.44,FPÖ - Rudi Federspiel - FPÖ
211,23.95,13.92,9.06,3.88,5.83,3.88,6.15,11.33,0.0,11.65,0.0,0.0,10.36,Georg Willi - Die Innsbrucker Grünen - GRÜNE
212,12.19,24.37,7.89,2.87,3.23,4.3,5.73,14.7,0.72,13.26,0.0,0.0,10.75,FPÖ - Rudi Federspiel - FPÖ
213,3.03,30.3,7.88,1.21,7.88,7.88,1.21,11.52,1.21,18.18,0.0,0.0,9.7,FPÖ - Rudi Federspiel - FPÖ
214,20.06,14.53,7.27,3.49,4.36,4.36,5.23,19.77,0.87,11.63,0.0,0.29,8.14,Georg Willi - Die Innsbrucker Grünen - GRÜNE
215,19.41,18.42,8.88,2.63,3.62,1.97,6.58,11.84,1.32,15.79,0.0,0.33,9.21,Georg Willi - Die Innsbrucker Grünen - GRÜNE
220,11.83,23.12,6.45,1.08,4.84,10.22,4.3,16.13,1.61,13.44,0.54,0.0,6.45,FPÖ - Rudi Federspiel - FPÖ
221,6.9,33.19,9.91,0.0,6.03,6.9,3.45,14.22,0.43,12.93,0.43,0.0,5.6,FPÖ - Rudi Federspiel - FPÖ
222,14.99,21.31,8.2,1.41,5.15,7.26,2.81,12.88,0.47,16.86,0.0,0.7,7.96,FPÖ - Rudi Federspiel - FPÖ
223,8.17,27.23,7.92,0.99,6.93,8.66,2.48,15.84,0.74,12.13,0.5,0.74,7.67,FPÖ - Rudi Federspiel - FPÖ
230,17.43,22.7,5.92,1.64,5.59,3.29,1.97,20.07,0.66,11.84,0.0,0.33,8.55,FPÖ - Rudi Federspiel - FPÖ
231,12.69,26.01,8.67,1.86,5.57,5.26,4.95,13.31,0.31,13.93,0.0,0.31,7.12,FPÖ - Rudi Federspiel - FPÖ
232,11.99,17.81,12.33,2.4,5.48,4.45,4.45,14.38,0.0,16.78,0.34,1.37,8.22,FPÖ - Rudi Federspiel - FPÖ
240,14.29,26.53,8.98,4.9,3.27,4.08,4.08,13.06,0.0,11.84,0.0,1.22,7.76,FPÖ - Rudi Federspiel - FPÖ
241,14.56,16.09,8.81,3.45,7.28,2.3,5.36,19.16,0.77,10.73,0.38,0.0,11.11,Sozialdemokratische Partei Österreichs - SPÖ
242,13.98,27.02,10.87,1.86,4.97,8.07,2.17,13.98,0.31,10.87,0.31,0.0,5.59,FPÖ - Rudi Federspiel - FPÖ
243,16.43,18.84,10.63,3.38,4.35,2.9,3.86,16.43,0.0,13.53,0.97,0.48,8.21,FPÖ - Rudi Federspiel - FPÖ
244,7.56,26.12,7.9,0.34,4.81,6.19,4.12,21.31,0.69,14.09,0.34,0.34,6.19,FPÖ - Rudi Federspiel - FPÖ
245,11.36,22.35,15.53,2.27,5.3,4.55,3.79,17.8,0.0,9.85,0.0,0.0,7.2,FPÖ - Rudi Federspiel - FPÖ
246,7.05,25.73,14.94,3.73,1.24,7.47,3.32,14.94,0.41,14.52,0.83,0.41,5.39,FPÖ - Rudi Federspiel - FPÖ
250,13.31,22.29,10.84,2.48,5.88,6.5,2.48,9.91,0.62,18.58,0.62,0.31,6.19,FPÖ - Rudi Federspiel - FPÖ
251,12.2,25.47,7.59,1.63,5.96,4.61,2.44,10.3,0.54,24.93,0.0,0.54,3.79,FPÖ - Rudi Federspiel - FPÖ
252,10.92,27.11,14.79,0.35,7.39,10.56,3.17,9.86,0.0,12.32,0.35,0.35,2.82,FPÖ - Rudi Federspiel - FPÖ
253,9.09,25.3,11.07,1.98,4.74,9.09,3.56,11.86,0.4,17.79,1.19,0.0,3.95,FPÖ - Rudi Federspiel - FPÖ
254,11.98,23.96,12.24,3.13,2.86,4.69,3.13,14.06,0.78,16.15,0.52,0.0,6.51,FPÖ - Rudi Federspiel - FPÖ
255,6.92,27.99,8.49,0.94,3.14,8.18,2.83,12.89,1.26,20.75,0.0,0.0,6.6,FPÖ - Rudi Federspiel - FPÖ
256,3.1,20.74,11.76,1.86,9.29,4.02,3.72,17.03,0.93,22.29,0.31,0.62,4.33,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
257,9.66,21.15,8.36,1.57,4.96,3.39,4.96,19.58,0.0,18.02,0.26,0.0,8.09,FPÖ - Rudi Federspiel - FPÖ
260,7.93,26.68,9.13,0.48,7.45,7.45,4.09,13.22,0.72,16.83,0.48,0.96,4.57,FPÖ - Rudi Federspiel - FPÖ
261,7.59,25.32,6.33,0.84,12.24,8.44,1.27,13.5,0.84,18.14,0.0,0.42,5.06,FPÖ - Rudi Federspiel - FPÖ
262,15.1,21.81,9.73,2.35,3.36,3.36,3.69,14.43,1.01,18.79,0.67,0.34,5.37,FPÖ - Rudi Federspiel - FPÖ
263,10.27,23.29,11.64,2.4,3.77,1.03,4.45,16.44,0.0,21.92,0.34,0.0,4.45,FPÖ - Rudi Federspiel - FPÖ
