Bezirk_Id,Bezirk,Gemeinde_Id,Gemeinde,Sprengel_Nr,Wahlberechtigte,Abgegebene Stimmen,Wahlbeteiligung,Gültige Stimmen,Ungültige Stimmen,Nr./Wählergruppe1,Name/Wählergruppe1,Koppelung/Wählergruppe1,Stimmen/Wählergruppe1,Prozente/Wählergruppe1,Mandate/Wählergruppe1,Senatssitze/Wählergruppe1,Nr./Wählergruppe2,Name/Wählergruppe2,Koppelung/Wählergruppe2,Stimmen/Wählergruppe2,Prozente/Wählergruppe2,Mandate/Wählergruppe2,Senatssitze/Wählergruppe2,Nr./Wählergruppe3,Name/Wählergruppe3,Koppelung/Wählergruppe3,Stimmen/Wählergruppe3,Prozente/Wählergruppe3,Mandate/Wählergruppe3,Senatssitze/Wählergruppe3,Nr./Wählergruppe4,Name/Wählergruppe4,Koppelung/Wählergruppe4,Stimmen/Wählergruppe4,Prozente/Wählergruppe4,Mandate/Wählergruppe4,Senatssitze/Wählergruppe4,Nr./Wählergruppe5,Name/Wählergruppe5,Koppelung/Wählergruppe5,Stimmen/Wählergruppe5,Prozente/Wählergruppe5,Mandate/Wählergruppe5,Senatssitze/Wählergruppe5,Nr./Wählergruppe6,Name/Wählergruppe6,Koppelung/Wählergruppe6,Stimmen/Wählergruppe6,Prozente/Wählergruppe6,Mandate/Wählergruppe6,Senatssitze/Wählergruppe6,Nr./Wählergruppe7,Name/Wählergruppe7,Koppelung/Wählergruppe7,Stimmen/Wählergruppe7,Prozente/Wählergruppe7,Mandate/Wählergruppe7,Senatssitze/Wählergruppe7,Nr./Wählergruppe8,Name/Wählergruppe8,Koppelung/Wählergruppe8,Stimmen/Wählergruppe8,Prozente/Wählergruppe8,Mandate/Wählergruppe8,Senatssitze/Wählergruppe8,Nr./Wählergruppe9,Name/Wählergruppe9,Koppelung/Wählergruppe9,Stimmen/Wählergruppe9,Prozente/Wählergruppe9,Mandate/Wählergruppe9,Senatssitze/Wählergruppe9,Nr./Wählergruppe10,Name/Wählergruppe10,Koppelung/Wählergruppe10,Stimmen/Wählergruppe10,Prozente/Wählergruppe10,Mandate/Wählergruppe10,Senatssitze/Wählergruppe10,Nr./Wählergruppe11,Name/Wählergruppe11,Koppelung/Wählergruppe11,Stimmen/Wählergruppe11,Prozente/Wählergruppe11,Mandate/Wählergruppe11,Senatssitze/Wählergruppe11,Nr./Wählergruppe12,Name/Wählergruppe12,Koppelung/Wählergruppe12,Stimmen/Wählergruppe12,Prozente/Wählergruppe12,Mandate/Wählergruppe12,Senatssitze/Wählergruppe12,Nr./Wählergruppe13,Name/Wählergruppe13,Koppelung/Wählergruppe13,Stimmen/Wählergruppe13,Prozente/Wählergruppe13,Mandate/Wählergruppe13,Senatssitze/Wählergruppe13,Winner
701,Innsbruck-Stadt,70101,Innsbruck,,100564.0,60841,"60,50",59814,1027,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,11286,"18,87",8.0,,2,FPÖ - Rudi Federspiel - FPÖ,,9096,"15,21",7.0,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,6073,"10,15",4.0,,4,NEOS Innsbruck - NEOS,,2102,"3,51",0.0,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,3291,"5,50",2.0,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,2081,"3,48",0.0,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,2889,"4,83",2.0,,8,Sozialdemokratische Partei Österreichs - SPÖ,,8122,"13,58",6.0,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,406,"0,68",0.0,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,10067,"16,83",8.0,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,204,"0,34",0.0,,12,Die Unabhängigen - Innsbruck - DU-I,,177,"0,30",0.0,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,4020,"6,72",3.0,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,-1.0,,12055,,11949,106,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,2680,"22,43",,,2,FPÖ - Rudi Federspiel - FPÖ,,1319,"11,04",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,1164,"9,74",,,4,NEOS Innsbruck - NEOS,,529,"4,43",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,665,"5,57",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,328,"2,74",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,597,"5,00",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,1503,"12,58",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,84,"0,70",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,2256,"18,88",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,35,"0,29",,,12,Die Unabhängigen - Innsbruck - DU-I,,20,"0,17",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,769,"6,44",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,1.0,,338,,323,15,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,78,"24,15",,,2,FPÖ - Rudi Federspiel - FPÖ,,24,"7,43",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,49,"15,17",,,4,NEOS Innsbruck - NEOS,,16,"4,95",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,11,"3,41",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,6,"1,86",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,30,"9,29",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,44,"13,62",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,4,"1,24",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,25,"7,74",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,1,"0,31",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,35,"10,84",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,10.0,,338,,328,10,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,88,"26,83",,,2,FPÖ - Rudi Federspiel - FPÖ,,31,"9,45",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,38,"11,59",,,4,NEOS Innsbruck - NEOS,,11,"3,35",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,14,"4,27",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,5,"1,52",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,20,"6,10",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,46,"14,02",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,7,"2,13",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,26,"7,93",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,2,"0,61",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,40,"12,20",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,11.0,,308,,302,6,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,99,"32,78",,,2,FPÖ - Rudi Federspiel - FPÖ,,20,"6,62",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,19,"6,29",,,4,NEOS Innsbruck - NEOS,,10,"3,31",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,5,"1,66",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,5,"1,66",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,32,"10,60",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,41,"13,58",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,2,"0,66",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,36,"11,92",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,1,"0,33",,,12,Die Unabhängigen - Innsbruck - DU-I,,1,"0,33",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,31,"10,26",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,12.0,,304,,301,3,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,87,"28,90",,,2,FPÖ - Rudi Federspiel - FPÖ,,30,"9,97",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,29,"9,63",,,4,NEOS Innsbruck - NEOS,,12,"3,99",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,16,"5,32",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,9,"2,99",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,26,"8,64",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,26,"8,64",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,2,"0,66",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,50,"16,61",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,3,"1,00",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,11,"3,65",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,13.0,,306,,288,18,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,81,"28,13",,,2,FPÖ - Rudi Federspiel - FPÖ,,28,"9,72",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,23,"7,99",,,4,NEOS Innsbruck - NEOS,,16,"5,56",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,10,"3,47",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,15,"5,21",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,16,"5,56",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,43,"14,93",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,4,"1,39",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,37,"12,85",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,1,"0,35",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,14,"4,86",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,20.0,,188,,184,4,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,46,"25,00",,,2,FPÖ - Rudi Federspiel - FPÖ,,12,"6,52",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,20,"10,87",,,4,NEOS Innsbruck - NEOS,,7,"3,80",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,10,"5,43",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,9,"4,89",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,11,"5,98",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,19,"10,33",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,0,"0,00",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,27,"14,67",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,0,"0,00",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,23,"12,50",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,21.0,,178,,176,2,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,42,"23,86",,,2,FPÖ - Rudi Federspiel - FPÖ,,9,"5,11",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,22,"12,50",,,4,NEOS Innsbruck - NEOS,,4,"2,27",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,1,"0,57",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,2,"1,14",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,15,"8,52",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,38,"21,59",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,0,"0,00",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,16,"9,09",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,0,"0,00",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,27,"15,34",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
701,Innsbruck-Stadt,70101,Innsbruck,30.0,,194,,190,4,1,Georg Willi - Die Innsbrucker Grünen - GRÜNE,,49,"25,79",,,2,FPÖ - Rudi Federspiel - FPÖ,,11,"5,79",,,3,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",,26,"13,68",,,4,NEOS Innsbruck - NEOS,,10,"5,26",,,5,Liste Fritz - Bürgerforum Tirol - FRITZ,,8,"4,21",,,6,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,,6,"3,16",,,7,Alternative Liste Innsbruck - Mesut Onay - ALI,,21,"11,05",,,8,Sozialdemokratische Partei Österreichs - SPÖ,,25,"13,16",,,9,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,,1,"0,53",,,10,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,,15,"7,89",,,11,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,,0,"0,00",,,12,Die Unabhängigen - Innsbruck - DU-I,,0,"0,00",,,13,Kommunistische Partei Österreich (KPÖ) - KPÖ,,18,"9,47",,,Georg Willi - Die Innsbrucker Grünen - GRÜNE
